timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-73,text,true,,291,0,140,140,null,0,0,0
1660568770155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-35,text,true,,291,0,140,140,null,0,0,0
1660568710114,60045,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-82,text,false,,315,297,121,121,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60045,0,4
1660568770159,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-82,text,true,,291,0,121,121,null,0,0,0
1660568710120,60042,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-83,text,false,,315,297,120,120,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60042,0,4
1660568770162,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-83,text,true,,291,0,120,120,null,0,0,0
1660568710124,60047,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-84,text,false,,315,297,119,119,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60047,0,5
1660568770171,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-84,text,true,,291,0,119,119,null,0,0,0
1660568710130,60044,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-85,text,false,,315,297,118,118,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60044,0,6
1660568770174,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-85,text,true,,291,0,118,118,null,0,0,0
1660568710134,60044,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-86,text,false,,315,297,117,117,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60044,0,5
1660568770178,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-86,text,true,,291,0,117,117,null,0,0,0
1660568710140,60047,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-87,text,false,,315,297,116,116,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60047,0,6
1660568770187,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-87,text,true,,290,0,116,116,null,0,0,0
1660568710144,60046,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-88,text,false,,315,297,115,115,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60046,0,6
1660568770191,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-88,text,true,,290,0,115,115,null,0,0,0
1660568710149,60046,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-89,text,false,,315,297,114,114,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60046,0,5
1660568770195,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-89,text,true,,291,0,114,114,null,0,0,0
1660568710154,60044,ApiLoginNormal,504,Gateway Time-out,PrivyNormalTest 1-90,text,false,,315,297,113,113,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,60043,0,4
1660568770198,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-90,text,true,,291,0,113,113,null,0,0,0
